CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
45.0,5.0,50.0,21.1,2.86,,,,,
40.0,10.0,50.0,22.3,2.81,,,,,
37.5,12.5,50.0,22.8,2.8,,,,,
35.0,15.0,50.0,23.5,2.76,,,,,
31.3,18.7,50.0,24.4,2.73,,,,,
30.0,20.0,50.0,24.7,2.72,,,,,
29.4,20.6,50.0,24.7,2.73,,,,,
27.8,22.2,50.0,25.1,2.72,,,,,
26.3,23.7,50.0,25.4,2.71,,,,,
25.0,25.0,50.0,25.8,2.7,,,,,
20.0,30.0,50.0,26.6,2.7,,,,,
10.0,40.0,50.0,28.1,2.72,,,,,
25.11,24.83,50.06,26.117951556390967,2.66,,,,,
29.51,20.1,50.39,24.658136534798533,2.73,,,,,
46.37,3.24,50.4,20.64,2.886,,,,,
16.16,33.33,50.51,27.2,2.698,,,,,
22.8,26.6,50.6,26.03981007407407,2.7,,,,,
24.4,24.6,51.0,26.64331884836852,2.605,,,,,
20.5,28.2,51.3,26.439593377976195,2.688,,,,,
38.43,9.92,51.65,22.31184940213523,2.81,,,,,
38.0,9.0,53.0,22.56633309196234,2.762,,,,,
34.2,12.5,53.3,23.14372450235252,2.763,,,,,
24.4,22.0,53.6,25.434462248696946,2.6860000000000004,,,,,
22.7,22.7,54.6,25.7125308124298,2.6710000000000003,,,,,
29.27,16.1,54.63,25.54518248249027,2.57,,,,,
30.2,14.8,55.0,25.903445382165607,2.512,,,,,
30.0,15.0,55.0,23.956330882352944,2.72,,,,,
35.0,10.0,55.0,22.86076,2.75,,,,,
40.0,5.0,55.0,21.55621352313167,2.81,,,,,
40.0,5.0,55.0,21.7,2.8,,,,,
35.0,10.0,55.0,22.9,2.75,,,,,
33.7,11.3,55.0,23.1,2.75,,,,,
30.0,15.0,55.0,24.1,2.71,,,,,
28.1,16.9,55.0,24.5,2.7,,,,,
26.5,18.5,55.0,24.9,2.69,,,,,
25.0,20.0,55.0,25.3,2.67,,,,,
22.5,22.5,55.0,25.7,2.67,,,,,
20.0,25.0,55.0,26.2,2.66,,,,,
36.0,8.0,56.0,22.298368345323738,2.78,,,,,
32.0,12.0,56.0,22.876260931899644,2.79,,,,,
23.8,19.1,57.1,25.22602826005261,2.661,,,,,
32.3,10.04,57.66,23.065511607469787,2.7310000000000003,,,,,
32.28,10.02,57.7,23.062737722445988,2.7310000000000003,,,,,
33.0,9.0,58.0,22.97147024246877,2.722,,,,,
20.8,20.8,58.4,25.74185575757576,2.64,,,,,
24.0,16.0,60.0,24.9,2.6433805622489963,,,,,
20.0,20.0,60.0,25.90179173047473,2.612,,,,,
25.0,15.0,60.0,24.7112854442344,2.645,,,,,
35.0,5.0,60.0,22.33483645718486,2.721,,,,,
30.0,10.0,60.0,23.58534779356768,2.674,,,,,
27.0,13.0,60.0,24.27257928436912,2.655,,,,,
25.0,15.0,60.0,24.80506641366224,2.635,,,,,
22.0,18.0,60.0,25.491912910618787,2.6180000000000003,,,,,
20.0,20.0,60.0,25.971393474088288,2.605,,,,,
15.0,25.0,60.0,26.841753645433606,2.6060000000000003,,,,,
10.0,30.0,60.0,27.690203142966663,2.609,,,,,
35.0,5.0,60.0,22.34,2.721,,,,,
30.0,10.0,60.0,23.59,2.674,,,,,
27.0,13.0,60.0,24.27,2.655,,,,,
25.0,15.0,60.0,24.81,2.635,,,,,
22.0,18.0,60.0,25.5,2.6180000000000003,,,,,
20.0,20.0,60.0,25.97,2.605,,,,,
18.0,22.0,60.0,26.29,2.608,,,,,
15.0,25.0,60.0,26.84,2.6060000000000003,,,,,
10.0,30.0,60.0,27.69,2.609,,,,,
20.0,20.0,60.0,25.94151840490797,2.608,,,,,
30.0,10.0,60.0,23.79895094339622,2.65,,,,,
30.0,10.0,60.0,23.44506319702602,2.69,,,,,
17.78,22.22,60.0,26.515086378378378,2.59,,,,,
20.0,20.0,60.0,26.021338461538463,2.6,,,,,
22.86,17.14,60.0,25.41886499616858,2.61,,,,,
26.67,13.33,60.0,24.56087854752852,2.63,,,,,
32.0,8.0,60.0,23.103928624535307,2.69,,,,,
20.0,20.0,60.0,25.78333841463414,2.6239999999999997,,,,,
30.0,10.0,60.0,23.35822962962963,2.7,,,,,
20.0,20.0,60.0,26.021338461538463,2.6,,,,,
35.0,5.0,60.0,22.2,2.73,,,,,
33.3,6.7,60.0,22.5,2.73,,,,,
30.0,10.0,60.0,23.5,2.69,,,,,
27.2,12.8,60.0,24.1,2.68,,,,,
25.0,15.0,60.0,24.7,2.65,,,,,
23.5,16.5,60.0,24.8,2.66,,,,,
20.0,20.0,60.0,25.8,2.62,,,,,
30.76,9.23,60.02,23.20397049204588,2.7030000000000003,,,,,
30.75,9.22,60.03,23.200346466888647,2.7030000000000003,,,,,
23.2,16.3,60.5,24.98214191594093,2.641,,,,,
32.8,6.0,61.2,22.46332375366569,2.728,,,,,
19.2,19.2,61.6,25.85507132437619,2.605,,,,,
37.8,0.6,61.6,21.34190754716981,2.7560000000000002,,,,,
30.43,7.61,61.96,23.32672060902255,2.66,,,,,
30.43,7.59,61.98,23.3235717368421,2.66,,,,,
18.0,20.0,62.0,25.97221319018405,2.608,,,,,
24.1,13.26,62.64,25.46010291338583,2.54,,,,,
28.01,9.24,62.74,23.590903394667674,2.6630000000000003,,,,,
27.98,9.24,62.78,23.59361040931281,2.6630000000000003,,,,,
31.58,5.26,63.16,22.85350820973783,2.67,,,,,
22.7,13.6,63.7,24.730114296606942,2.623,,,,,
25.9,9.2,64.9,24.015382436044288,2.6189999999999998,,,,,
26.1,8.99,64.91,24.061430421455942,2.61,,,,,
25.81,9.26,64.93,24.15547675239923,2.605,,,,,
26.7,8.99,64.94,24.19724973180077,2.61,,,,,
32.1,2.9,65.0,22.551554077414497,2.661,,,,,
30.0,5.0,65.0,23.36138697318008,2.61,,,,,
25.0,10.0,65.0,24.05602661596958,2.63,,,,,
26.0,9.0,65.0,23.95443325705568,2.622,,,,,
30.0,5.0,65.0,23.06970109723799,2.6430000000000002,,,,,
16.8,16.71,66.49,27.104371918367338,2.45,,,,,
16.8,16.6,66.6,26.89892306445075,2.467,,,,,
16.67,16.67,66.67,25.83664224902724,2.57,,,,,
22.2,11.1,66.7,24.62017076745083,2.593,,,,,
6.07,26.51,67.42,28.15056753174603,2.52,,,,,
2.54,27.49,69.97,27.39124366283525,2.61,,,,,
18.0,12.0,70.0,25.05,2.570264750499002,,,,,
20.0,10.0,70.0,25.026608832807568,2.536,,,,,
13.33,16.67,70.0,26.825745733870967,2.48,,,,,
15.0,15.0,70.0,26.410285140562248,2.49,,,,,
17.14,12.86,70.0,25.911888944,2.5,,,,,
20.0,10.0,70.0,25.18550793650794,2.52,,,,,
